geo_id,region,country,state,city
1,Asia-Pacific,India,Karnataka,Bengaluru
2,South America,Brazil,Sao Paulo,Sao Paulo
3,Europe,France,Ile-de-France,Paris
4,North America,USA,California,Los Angeles
5,North America,Canada,Ontario,Toronto
6,North America,USA,Texas,Dallas
7,Middle East,UAE,Dubai,Dubai
8,South America,Argentina,Buenos Aires,Buenos Aires
9,Asia-Pacific,Japan,Tokyo,Tokyo
10,North America,Canada,Ontario,Toronto
11,Asia-Pacific,Australia,Victoria,Melbourne
12,South America,Brazil,Sao Paulo,Sao Paulo
13,Asia-Pacific,India,Karnataka,Bengaluru
14,North America,USA,California,Los Angeles
15,South America,Brazil,Sao Paulo,Sao Paulo
16,North America,USA,Texas,Dallas
17,Europe,UK,England,London
18,South America,Brazil,Sao Paulo,Sao Paulo
19,Europe,UK,England,London
20,Europe,UK,England,London
21,Europe,France,Ile-de-France,Paris
22,Middle East,Saudi Arabia,Riyadh,Riyadh
23,North America,USA,Texas,Dallas
24,Europe,France,Ile-de-France,Paris
25,Middle East,Saudi Arabia,Riyadh,Riyadh
26,North America,USA,Texas,Dallas
27,North America,Canada,Ontario,Toronto
28,Asia-Pacific,Japan,Tokyo,Tokyo
29,South America,Argentina,Buenos Aires,Buenos Aires
30,South America,Brazil,Sao Paulo,Sao Paulo
31,Europe,France,Ile-de-France,Paris
32,Middle East,Saudi Arabia,Riyadh,Riyadh
33,Europe,France,Ile-de-France,Paris
34,South America,Argentina,Buenos Aires,Buenos Aires
35,Asia-Pacific,India,Karnataka,Bengaluru
36,South America,Brazil,Sao Paulo,Sao Paulo
37,North America,Canada,Ontario,Toronto
38,North America,Canada,Ontario,Toronto
39,Asia-Pacific,Australia,Victoria,Melbourne
40,North America,USA,California,Los Angeles
41,Asia-Pacific,Australia,Victoria,Melbourne
42,North America,Canada,Ontario,Toronto
43,Middle East,Saudi Arabia,Riyadh,Riyadh
44,South America,Brazil,Sao Paulo,Sao Paulo
45,Europe,France,Ile-de-France,Paris
46,Middle East,UAE,Dubai,Dubai
47,Europe,Germany,Bavaria,Munich
48,North America,USA,California,Los Angeles
49,North America,USA,California,Los Angeles
50,North America,Canada,Ontario,Toronto
51,South America,Brazil,Sao Paulo,Sao Paulo
52,Asia-Pacific,India,Tamil Nadu,Chennai
53,South America,Brazil,Sao Paulo,Sao Paulo
54,South America,Brazil,Sao Paulo,Sao Paulo
55,Middle East,UAE,Dubai,Dubai
56,Middle East,UAE,Dubai,Dubai
57,Europe,UK,England,London
58,Middle East,Saudi Arabia,Riyadh,Riyadh
59,Middle East,Saudi Arabia,Riyadh,Riyadh
60,South America,Argentina,Buenos Aires,Buenos Aires
61,South America,Brazil,Sao Paulo,Sao Paulo
62,Middle East,UAE,Dubai,Dubai
63,North America,Canada,Ontario,Toronto
64,North America,USA,Texas,Dallas
65,Middle East,UAE,Dubai,Dubai
66,Europe,UK,England,London
67,Middle East,UAE,Dubai,Dubai
68,Middle East,Saudi Arabia,Riyadh,Riyadh
69,Middle East,UAE,Dubai,Dubai
70,South America,Argentina,Buenos Aires,Buenos Aires
71,South America,Brazil,Sao Paulo,Sao Paulo
72,Middle East,Saudi Arabia,Riyadh,Riyadh
73,Middle East,Saudi Arabia,Riyadh,Riyadh
74,Europe,France,Ile-de-France,Paris
75,North America,USA,Texas,Dallas
76,Asia-Pacific,Japan,Tokyo,Tokyo
77,Middle East,Saudi Arabia,Riyadh,Riyadh
78,Europe,Germany,Bavaria,Munich
79,South America,Argentina,Buenos Aires,Buenos Aires
80,North America,USA,California,Los Angeles
81,Europe,Germany,Bavaria,Munich
82,Europe,France,Ile-de-France,Paris
83,Asia-Pacific,India,Karnataka,Bengaluru
84,South America,Argentina,Buenos Aires,Buenos Aires
85,South America,Brazil,Sao Paulo,Sao Paulo
86,North America,USA,California,Los Angeles
87,North America,USA,Texas,Dallas
88,Asia-Pacific,India,Tamil Nadu,Chennai
89,South America,Brazil,Sao Paulo,Sao Paulo
90,South America,Argentina,Buenos Aires,Buenos Aires
91,Europe,France,Ile-de-France,Paris
92,North America,Canada,Ontario,Toronto
93,North America,Canada,Ontario,Toronto
94,North America,USA,Texas,Dallas
95,Europe,UK,England,London
96,North America,USA,California,Los Angeles
97,Asia-Pacific,Australia,Victoria,Melbourne
98,Asia-Pacific,India,Karnataka,Bengaluru
99,Europe,Germany,Bavaria,Munich
100,Middle East,UAE,Dubai,Dubai
101,Asia-Pacific,Japan,Tokyo,Tokyo
102,Asia-Pacific,India,Tamil Nadu,Chennai
103,North America,Canada,Ontario,Toronto
104,South America,Argentina,Buenos Aires,Buenos Aires
105,South America,Argentina,Buenos Aires,Buenos Aires
106,Middle East,UAE,Dubai,Dubai
107,Asia-Pacific,Japan,Tokyo,Tokyo
108,North America,USA,Texas,Dallas
109,Middle East,Saudi Arabia,Riyadh,Riyadh
110,North America,USA,Texas,Dallas
111,Asia-Pacific,India,Tamil Nadu,Chennai
112,North America,USA,Texas,Dallas
113,South America,Argentina,Buenos Aires,Buenos Aires
114,South America,Brazil,Sao Paulo,Sao Paulo
115,South America,Argentina,Buenos Aires,Buenos Aires
116,North America,USA,Texas,Dallas
117,Middle East,UAE,Dubai,Dubai
118,Europe,UK,England,London
119,Europe,Germany,Bavaria,Munich
120,Europe,Germany,Bavaria,Munich
